Identifier	StudyName	Species	CancerType	TissueType	UberonOntologyID	malingnant.vs.non-malignant	immune.vs.non-immune	CellType	CellName	CellType2	GeneSymbol	GeneCount	PMID	Year	ResourceType	DB source
Jerby_Arnon.2018.MEL:Cancer cell:B_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	B cell	B_cell	B cell	"ADAM19, ADAM28, AFF3, ATF7IP, BACH2, BANK1, BCL11A, BLK, BLNK, BTLA, CCR6, CD19, CD1C, CD22, CD24, CD37, CD52, CD79A, CD79B, CHMP7, CIITA, CLEC17A, CNR2, COL19A1, COL4A3, CR2, CXCR5, CYBASC3, EEF1B2, EEF1G, EIF2S3, ELK2AP, FAIM3, FAM129C, FAM65B, FCER2, FCRL1, FCRL2, FCRL5, FCRLA, GGA2, GNB2L1, HLA-DOB, HLA-DQA2, HVCN1, IGJ, IGLL1, IGLL3P, IGLL5, IRF8, KBTBD8, KIAA0125, KIAA0226L, LOC283663, LRMP, MS4A1, NAPSB, NCF1C, NCOA3, P2RX5, PAX5, PLEKHF2, PNOC, POLD4, POU2AF1, POU2F2, PRKCB, QRSL1, RALGPS2, RHOH, SEL1L3, SELL, SMIM14, SNX29, SNX29P1, SP110, SP140, SPIB, ST6GAL1, STAG3, STAP1, STRBP, TCL1A, TLR10, TLR9, TMEM154, TNFRSF13B, TP53INP1, VPREB3, WDFY4, ZCCHC7"	91	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Endothelial_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	non-Immune	Endothelial cell	Endothelial_cell	Endothelial cell	"A2M, ABCD4, ADAM15, ADAMTS9, ADCY4, ADM5, AFAP1L1, APLNR, AQP1, ARHGAP29, ARHGAP31, ARHGEF15, ASAP1, BCAM, BCL6B, BCR, BMPR2, BMX, CALCRL, CARD10, CASKIN2, CCL14, CD200, CD34, CD93, CDH5, CFI, CLDN15, CLDN5, CLEC14A, CLEC1A, CNTNAP3B, COL15A1, COL4A1, COL4A2, CRIP2, CXorf36, CYYR1, DARC, DCHS1, DLL4, DOCK6, DOCK9, DYSF, ECE1, ECSCR, EFNA1, EFNB2, EGFL7, ELK3, ELTD1, EMCN, ENG, EPAS1, EPB41L4A, EPHB4, ERG, ESAM, EXOC3L1, F11R, FABP4, FAM107A, FAM65A, FAT4, FGD5, FKBP1A, FLI1, FLT4, FZD6, GALNT18, GATA2, GIPC2, GNG11, GPR116, GPR146, GRB10, GUK1, HECW2, HERC2P2, HID1, HSPG2, HYAL2, ICA1, ID1, ID3, IFITM3, IGFBP7, IL33, IL3RA, IPO11-LRRC70, ITGA5, ITGA6, ITGB4, JAG2, JAM2, JUP, KANK3, KDR, KLHL3, LAMA5, LDB2, LOC100505495, LRRC70, LUZP1, LYVE1, MALL, MANSC1, MECOM, MEOX1, MKL2, MMRN1, MMRN2, MPZL2, MTUS1, MYCT1, MYO15B, NOS3, NOSTRIN, NOTCH4, NPDC1, NPR1, NR5A2, PALD1, PALMD, PCDH1, PCDH12, PCDH17, PDE2A, PDLIM1, PECAM1, PGM5, PIEZO1, PIK3R3, PKP4, PLEKHA7, PLVAP, PLXNA2, PLXND1, PODXL, PPM1F, PPP1R13B, PRCP, PREX2, PTPRB, PVRL2, PXN, RALGAPA2, RAMP2, RAMP3, RAPGEF3, RAPGEF4, RASIP1, RBP7, RGL2, RHOJ, ROBO4, S1PR1, SCARF1, SDPR, SELE, SELP, SH3BGRL2, SHROOM4, SLC29A1, SLC9A3R2, SLCO2A1, SMAD1, SNCG, SOCS2, SOX18, SPNS2, STOM, SULF2, SYNPO, TACR1, TAOK2, TEAD4, TEK, TENC1, TFF3, TGFBR2, TGM2, THBD, THSD1, TIE1, TLL1, TM4SF1, TM4SF18, TMEM204, TMEM255B, TNFAIP1, TNFRSF10B, TSPAN12, TSPAN15, TSPAN18, TSPAN7, USHBP1, VWA1, VWF, ZNF366, ZNF385D"	201	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Stromal_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Both	Stromal cell	Stromal_cell	Stromal cell	"A4GALT, ADAMTS1, ADAMTSL1, ADIRF, ANGPTL2, APP, ARHGAP29, BGN, BMP1, C1R, CCDC80, CFH, CLU, COL15A1, COL18A1, COL4A1, COL4A2, COL6A2, COX7A1, CTGF, CYB5R3, CYR61, DCHS1, DPYSL3, EFEMP1, EHD2, ELN, EPAS1, FAM171A1, FAP, FAT4, FBN1, FLRT2, FSCN1, FSTL1, GJA1, GNG11, HSPG2, HTRA1, IFITM3, IGF2, IGFBP4, IGFBP7, JAG1, KIAA1217, LAMB1, LAMB2, LAMC1, LEPROT, LHFP, LIMCH1, LIMS2, LMCD1, LOXL2, LPHN2, LRRC32, MAP1B, MEOX2, MGP, MMP2, NFIB, NID1, NNMT, NPDC1, NR2F2, NT5E, NUAK1, PEAR1, PHLDB2, PLSCR4, PPAP2A, PPAP2B, PPIC, PRKCDBP, PROCR, PRSS23, PTRF, PXDN, RAB11FIP5, RABAC1, RBPMS, RUNX1T1, S100A16, SERPINH1, SPARC, SPARCL1, STC2, TFPI, TGFB1I1, THBS1, THY1, TMEM204, TNKS1BP1, TNXB, TPBG, UNC5B, VCL, ZEB1, ZNF423, ZNF521"	100	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Immune_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Immune cell	Immune_cell	Immune cell	"ACAP1, AKNA, ALOX5AP, ANKRD44, APOBEC3G, ARHGAP15, ARHGAP25, ARHGAP30, ARHGAP4, ARHGAP9, ARHGDIB, ATP2A3, BIN2, C16orf54, CCDC88B, CD37, CD48, CD52, CD53, CD69, CD84, CDC42SE2, CELF2, CNTRL, CORO1A, CSK, CXCR4, CYTH4, CYTIP, DEF6, DENND1C, DOCK2, DOCK8, DUSP2, EVI2B, FERMT3, FGD3, FNBP1, GBP5, GPR65, GPSM3, HCLS1, HMHA1, IKZF1, IL10RA, IL16, IL2RG, INPP5D, ITGA4, ITGAL, ITGB2, LAIR1, LAPTM5, LCP1, LILRB3, LIMD2, LPXN, LSP1, LY9, MAP4K1, MYO1G, NCKAP1L, NR4A2, PARP8, PARVG, PIK3CD, PIM2, PLCB2, PLEKHA2, PRKCB, PSD4, PSTPIP2, PTK2B, PTPN22, PTPN6, PTPN7, PTPRC, RAC2, RASSF5, RCSD1, RGS1, RHOH, RPS6KA1, SAMSN1, SASH3, SLA, SNX20, SP140, STK17B, TAGAP, TBC1D10C, TMC6, TMC8, TMSB4X, TRAF3IP3, TSC22D3, TSTD1, UCP2, VAV1, WIPF1"	100	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Plasmacytoid_dendritic_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Dendritic cell subtype	Plasmacytoid_dendritic_cell	Plasmacytoid dendritic cell	"CCR7, CD1A, CD1B, CD1C, CD4, CD40, CD80, CD83, CD86, CD8A, CLEC4C, CMKLR1, IL3RA, ITGA4, ITGAM, ITGAX, NRP1, PDCD1LG2, TLR9"	19	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Macrophage	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Macrophage	Macrophage	Macrophage	"ABCA1, ABI1, ACAA1, ACER3, ACP2, ACP5, ACSL1, ADAMDEC1, ADAP2, ADORA3, ADPGK, AIF1, AKR1A1, ALDH2, ALDH3B1, AMICA1, AMPD3, ANKRD22, AP1B1, APOC1, AQP9, ARAP1, ARHGAP18, ARHGAP27, ARHGEF10L, ARPC1B, ARRB2, ASAH1, ATF5, ATG3, ATG7, ATP6AP1, ATP6V0B, ATP6V0D1, ATP6V1B2, ATP6V1F, BACH1, BCKDHA, BCL2A1, BID, BLOC1S1, BLVRA, BLVRB, C10orf54, C11orf75, C15orf48, C19orf38, C1orf162, C1QA, C1QB, C1QC, C2, C3AR1, C5AR1, C9orf72, CAPG, CAPZA2, CARD9, CASP1, CAT, CCDC88A, CCR1, CCR2, CCRL2, CD14, CD163, CD1D, CD274, CD300C, CD300E, CD300LB, CD300LF, CD302, CD33, CD68, CD80, CD86, CECR1, CFD, CFP, CLEC10A, CLEC12A, CLEC4A, CLEC4E, CLEC5A, CLEC7A, CMKLR1, CMTM6, CNDP2, CNPY3, CORO7, CPVL, CREG1, CSF1R, CSF2RA, CSF3R, CST3, CSTA, CTSA, CTSB, CTSC, CTSD, CTSH, CTSL1, CTSS, CXCL10, CXCL16, CXCL9, CXCR2P1, CYB5R4, CYBA, CYBB, CYP2S1, DAPK1, DBNL, DENND1A, DHRS9, DMXL2, DNAJC5B, DOK1, DOK3, DPYD, EBI3, EMR2, EPSTI1, ETV6, EVI2A, F13A1, FAM105A, FAM157B, FAM26F, FAM49A, FAM96A, FBP1, FCER1G, FCGR1A, FCGR1B, FCGR1C, FCGR2A, FCGR2C, FCGR3B, FCGRT, FCN1, FERMT3, FES, FGL2, FKBP15, FLVCR2, FOLR2, FPR1, FPR2, FPR3, FTH1, FTL, FUCA1, FUOM, GAA, GABARAP, GALC, GATM, GBP1, GCA, GGTA1P, GK, GLA, GLB1, GLRX, GLUL, GM2A, GNA13, GNA15, GPBAR1, GPR34, GPR84, GPX1, GRN, GSTO1, H2AFY, HCAR2, HCAR3, HCK, HEIH, HERPUD1, HIST2H2BF, HK2, HK3, HLA-DMA, HLA-DMB, HLA-DPA1, HLA-DPB1, HLA-DPB2, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-DRB6, HMOX1, HN1, HPS1, HSPA6, HSPA7, HSPBAP1, IDH1, IFI30, IFI35, IFIT2, IFNGR1, IFNGR2, IGFLR1, IGSF6, IL10RB, IL18, IL1B, IL1RN, IL4I1, IL8, IRF5, IRF7, ITGAX, JAK2, KCNMA1, KCNMB1, KYNU, LAIR1, LAP3, LGALS2, LGALS9, LGMN, LILRA1, LILRA2, LILRA3, LILRA4, LILRA5, LILRA6, LILRB1, LILRB2, LILRB3, LILRB4, LILRB5, LIPA, LOC338758, LOC729737, LRRC25, LST1, LTA4H, LYN, LYZ, M6PR, MAFB, MAN2B1, MAPKAPK3, MARCO, MERTK, MFSD1, MGAT1, MIF4GD, MIIP, MILR1, MKNK1, MNDA, MOB1A, MPEG1, MPP1, MRC1, MS4A4A, MS4A6A, MS4A7, MSR1, MTHFD2, MTMR14, MX1, MX2, MXD1, MYD88, N4BP2L1, NAAA, NADK, NAGA, NAGK, NAIP, NCF2, NCF4, NCKAP1L, NCOA4, NFAM1, NFKBID, NINJ1, NLRC4, NLRP3, NMI, NOD2, NPC2, NPL, NR1H3, OAS1, OAZ1, OLR1, OSCAR, P2RX4, P2RY12, P2RY13, P2RY14, P2RY6, PAK1, PCK2, PFKFB3, PGD, PILRA, PLA2G15, PLA2G7, PLAUR, PLBD1, PLEK, PLEKHO1, PLEKHO2, PLIN2, PLXDC2, PPM1M, PPT1, PRAM1, PRKCD, PSAP, PSME2, PTAFR, PTPRE, PYCARD, RAB20, RAB4B, RAB8A, RASGEF1B, RASSF4, RBM47, RBPJ, REEP4, RELT, RGS10, RGS18, RGS19, RGS2, RHBDF2, RHOG, RILPL2, RIPK2, RNASE6, RNASEK, RNASET2, RNF13, RNF130, RNF144B, RNF149, RTN1, S100A11, S100A8, S100A9, SAMHD1, SAT1, SCAMP2, SCIMP, SCO2, SCPEP1, SDS, SECTM1, SEMA4A, SERPINA1, SERPINB1, SFT2D1, SGPL1, SH3BGRL, SHKBP1, SIGLEC1, SIGLEC14, SIGLEC5, SIGLEC7, SIGLEC9, SIRPA, SIRPB1, SIRPB2, SKAP2, SLAMF8, SLC11A1, SLC15A3, SLC16A3, SLC1A3, SLC25A19, SLC29A3, SLC2A5, SLC2A8, SLC2A9, SLC31A2, SLC43A2, SLC46A3, SLC7A7, SLC9A9, SLCO2B1, SMPDL3A, SNX10, SNX6, SOD2, SPI1, SPINT2, SQRDL, SRC, STX11, STXBP2, TALDO1, TBXAS1, TFRC, TGFBI, THEMIS2, TIFAB, TLR1, TLR2, TLR4, TLR5, TLR8, TMEM106A, TMEM144, TMEM176A, TMEM176B, TMEM37, TMEM51, TMEM86A, TNFAIP2, TNFAIP8L2, TNFSF13, TNFSF13B, TPP1, TRAFD1, TREM1, TREM2, TRPM2, TTYH3, TWF2, TYMP, TYROBP, UBE2D1, UBXN11, UNC93B1, VAMP8, VMO1, VSIG4, WDFY2, ZEB2, ZNF267, ZNF385A"	446	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Malignant_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	non-Immune	Malignant cell	Malignant_cell	Malignant cell	"AASDHPPT, AATF, ACN9, ACOT7, ACSL3, ADIPOR1, ADSL, AHCY, AIF1L, AK2, ALDOA, ALX1, AMZ2, ANAPC11, ANKRD54, ANP32A, AP1S2, APEH, APOA1BP, APOC2, APOD, APOO, ARPC1A, ATIC, ATP1A1, ATP5C1, ATP5G1, ATP5G2, ATP5G3, ATP6V1C1, ATP6V1E1, ATP6V1G1, BAIAP2, BANCR, BCAN, BCAS3, BCL2L13, BIRC7, BZW2, C10orf90, C11orf31, C17orf89, C1orf43, C1orf85, C1QBP, C22orf32, C4orf48, CA14, CA8, CACYBP, CAPN3, CBX3, CCND1, CCT2, CCT3, CCT4, CCT6A, CCT8, CDH19, CDH3, CDK2, CDK4, CEP170, CHCHD6, CHD1L, CLCN7, CLNS1A, CMC2, COA3, COA4, COA6, COX5B, COX6A1, COX7A2, COX7A2L, COX7C, COX8A, CSAG1, CSAG2, CSAG3, CSPG4, CYC1, CYP27A1, DAAM2, DANCR, DAP3, DCT, DCXR, DDIT3, DDT, DLL3, DNAH14, DNAJA4, DRG1, EDNRB, EIF3C, EIF3D, EIF3E, EIF3H, EIF3L, EIF3M, ENO1, ENO2, ENTPD6, EPB41L4A-AS1, ERBB3, ESRP1, ETV4, ETV5, EXOSC4, FAH, FAHD2B, FAM103A1, FAM162A, FAM178B, FARP2, FASN, FBXO32, FBXO7, FDFT1, FKBP4, FMN1, FXYD3, GALE, GAPDH, GAPDHS, GAS2L3, GAS5, GAS7, GCSH, GDF15, GJB1, GMNN, GMPR, GPATCH4, GPM6B, GPR137B, GPR143, GPS1, GSTP1, GTF2F2, GYG2, H2AFZ, HAX1, HDDC2, HIST1H2AC, HIST1H2BD, HIST3H2A, HMG20B, HMGA1, HPS4, HPS5, HSBP1, HSP90AA1, HSP90AB1, HSPA4, HSPA9, HSPD1, HSPE1, HSPH1, IGSF11, IGSF3, IGSF8, ILF2, IMMP2L, INPP5F, IRF4, ISYNA1, KCNJ13, LAGE3, LDHB, LHFPL3-AS1, LINC00473, LINC00518, LINC00673, LOC100126784, LOC100127888, LOC100130370, LOC100133445, LOC100505865, LOC146481, LOC340357, LOXL4, LSM2, LZTS1, MAD2L1BP, MAGEA12, MAGEA2, MAGEA2B, MAGEA3, MAGEA4, MAGEA6, MAGEC1, MAGED2, MDH1, MDH2, METTL23, METTL9, MFI2, MIA, MIF, MITF, MKI67IP, MLANA, MLPH, MOK, MORN2, MRPL12, MRPL21, MRPL23, MRPL24, MRPL38, MRPL40, MRPS21, MRPS23, MRPS25, MRPS26, MRPS6, MSI2, MTHFS, MXI1, MYO10, NARS2, NAV2, NDUFA4, NDUFAF3, NDUFB9, NDUFS2, NEDD4L, NELFCD, NFYA, NGRN, NHP2, NME1, NOP58, NPM1, NSG1, NT5DC3, NUP93, OCA2, PACSIN2, PAFAH1B3, PAGE5, PAICS, PAX3, PEBP1, PEG10, PEX19, PFDN2, PHACTR1, PHB, PHF5A, PHLDA1, PIGY, PIR, PLEKHB1, PLP1, PMEL, POLD2, POLR2F, POMGNT1, PPIL1, PRAME, PRDX6, PSMB4, PSMB7, PSMD4, PTTG1, PUF60, PYGB, PYURF, QDPR, QPCT, RAB17, RAB38, RABGGTB, RAD51C, RAE1, RAN, RAP1GAP, RGS20, ROPN1, ROPN1B, RRS1, RSL1D1, RTKN, RUVBL2, S100A1, S100B, SAMM50, SCD, SDC3, SDCBP, SDHC, SEC11C, SF3A1, SGCD, SHC4, SKP1, SLC19A1, SLC19A2, SLC24A5, SLC25A13, SLC25A4, SLC39A4, SLC45A2, SLC5A3, SLC6A15, SLC7A5, SLMO2, SMS, SNCA, SNHG16, SNHG6, SNRPC, SNRPD1, SNRPE, SOD1, SORD, SORT1, SOX10, SPCS1, SRP9, ST13, ST3GAL4, ST3GAL6, ST6GALNAC2, STAM, STIP1, STK32A, STMN1, STOML2, STRA13, STRADB, STX7, STXBP1, SUPT4H1, SYNGR1, TBC1D10A, TBC1D16, TBC1D7, TBCA, TBRG4, TEX2, TFAP2A, TIMM50, TMED10, TMEM147, TMEM177, TMEM255A, TMX4, TOM1L1, TOMM20, TOMM22, TOMM6, TOMM7, TOP1MT, TRIM2, TRIM63, TRMT112, TSNAX, TTLL4, TUBB2A, TUBB2B, TUBB4A, TYR, TYRP1, UBA2, UBL3, UCHL5, UQCRH, UTP18, VAT1, VDAC1, WBP11, WBP2, WBSCR22, WDFY1, WDR43, XAGE1A, XAGE1B, XAGE1C, XAGE1D, XAGE1E, XYLB, ZCCHC17, ZFAS1, ZFP106, ZNF280B"	389	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:Natural_killer_cell	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	Natural killer cell	Natural_killer_cell	Natural killer cell	"ALOX5AP, APMAP, CALM1, CD160, CD244, CD247, CLIC3, CTSW, FCRL6, FGFBP2, GNLY, GZMB, GZMM, HOPX, ID2, IL18RAP, IL2RB, KIR2DL3, KIR3DL2, KLRB1, KLRC1, KLRD1, KLRF1, MATK, MYBL1, NCAM1, NCR1, NCR3, NKG7, NMUR1, PRF1, PTGDR, PTPN4, SAMD3, SH2D1B, TXK, XCL1, XCL2"	38	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL:Cancer cell:CAF	Jerby_Arnon.2018.MEL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	non-Immune	CAF	CAF	CAF	"ABCA6, ABCA8, ABI3BP, ACTA2, ACVR1, ADAM12, ADAMTS12, ADAMTS2, ANTXR1, AOX1, ARMCX2, ASPN, BACE1, BAG2, BGN, C1R, C1S, CALD1, CCDC80, CD248, CDH11, CDR1, CERCAM, CILP, CKAP4, CLEC11A, CLIP3, CNN1, COL11A1, COL12A1, COL14A1, COL16A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL6A1, COL6A2, COL6A3, COL8A1, COMP, CPE, CPXM1, CPZ, CRABP2, CREB3L1, CRISPLD2, CTSK, CXCL12, CXCL14, CYBRD1, CYGB, CYP1B1, DCN, DDAH1, DDR2, DEPTOR, DKK3, DPT, EBF2, ECM2, EDNRA, EFEMP2, EGFLAM, EGFR, EMILIN1, FAT1, FBLN1, FBLN2, FBLN5, FGF7, FIBIN, FMOD, FN1, FNDC1, FRMD6, FST, FSTL1, GEM, GFPT2, GFRA1, GLT8D2, GPC1, GPC4, GPC6, GPR133, GPR176, GPX8, HSPB2, HSPB6, HSPB7, HTRA3, IGFBP6, INHBA, ISLR, ITGA11, ITGB5, ITGBL1, KDELR2, KDELR3, LARP6, LEPREL2, LMO7, LMOD1, LOX, LOXL1, LPAR1, LTBP2, LUM, LURAP1L, MAP1A, MEG3, MFAP4, MGST1, MIR100HG, MMP2, MOXD1, MRC2, MRGPRF, MSC, MT1M, MXRA5, MXRA8, MYL9, NEXN, NID2, NOTCH3, NTM, NTRK2, NUPR1, OGN, OLFML1, OLFML2B, OLFML3, OMD, OSR2, PALLD, PAMR1, PAPSS2, PCDH18, PCOLCE, PCOLCE2, PDGFRA, PDGFRB, PDGFRL, PDLIM2, PLA2G2A, PLAC9, PLOD2, PODN, POSTN, PPIB, PRR16, PRR24, PRRX1, PRRX2, PTN, RARRES2, RCN3, ROR2, SCUBE3, SDC1, SDC2, SEC24D, SEMA5A, SERPINF1, SFRP2, SFRP4, SH2D4A, SH3D19, SH3PXD2A, SLIT2, SLIT3, SMOC2, SOD3, SPARC, SPOCK1, SPON1, SRPX2, STEAP1, SULF1, SUSD2, SVEP1, TAGLN, TBX15, TCEAL7, TGFB3, THBS2, THY1, TIMP1, TMEM119, TMEM45A, TPM1, TPM2, TWIST1, TWIST2, UCHL1, VASN, VCAN, WISP2, WNT2"	202	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL.TIL:Cancer cell:CD4_T_cell	Jerby_Arnon.2018.MEL.TIL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	CD4_T_cell	CD4+ T cell	"AIM1, AQP3, BCL11B, CAMK4, CCR4, CCR8, CD28, CD4, CD40LG, CD5, CD6, DGKA, DUSP16, EML4, F5, FAAH2, FAM102A, FBLN7, FLT3LG, FOXP3, FYB, ICOS, IL6R, IL7R, ITGB2-AS1, ITK, LAT, LEPROTL1, LOC100128420, LOC285740, MAF, MAL, PASK, PBX4, PBXIP1, PIK3IP1, PIM2, SEPT6, SLAMF1, SPOCK2, SUSD3, TBC1D4, TCF7, TESPA1, TIAM1, TMEM66, TNFAIP3, TNFSF8, TNIK, TPT1"	50	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL.TIL:Cancer cell:Exhausted_CD4_T_cell	Jerby_Arnon.2018.MEL.TIL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	Exhausted_CD4_T_cell	Exhausted CD4+ T cell	"C9orf16, CDK5R1, CTLA4, DDX5, HLA-J, ICA1, IGFLR1, IL21, ITGB2-AS1, ITM2A, KCNK5, KIAA0247, LIMS1, LY6G5C, MAF, METTL8, MRP63, NFATC1, NR3C1, PDCD1, PTPN11, PTPRC, RNF19A, SARDH, SLA, SRGN, TBC1D4, THADA, TIGIT, TSPYL2, ZNF211"	31	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL.TIL:Cancer cell:Na?ve_CD4_T_cell	Jerby_Arnon.2018.MEL.TIL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	Na?ve_CD4_T_cell	Naive CD4+ T cell	"ABLIM1, ATM, CAMK4, CCR7, EEF1A1, EEF1B2, EEF1G, FAM65B, FHIT, GIMAP5, IL7R, LDHB, LDLRAP1, LEF1, LOC100130231, NAP1L1, NOSIP, PABPC1, PIK3IP1, SELL, SERINC5, SF1, TCF7, TMEM66, TPT1, TRABD2A, TSC22D3, TXNIP, UBA52"	29	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL.TIL:Cancer cell:CD4_regulatory_T_cell	Jerby_Arnon.2018.MEL.TIL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	CD4_regulatory_T_cell	CD4+ regulatory T cell	"ARID3B, CARD16, CCR4, CCR8, CD177, DDX60, ERI1, EZH2, FAS, FOXP3, GATA3, GBP5, GCHFR, HNRNPC, HPRT1, IL10RA, IL1R2, IL2RA, IL2RG, IL32, LAIR2, LAYN, LOC541471, LTB, PARK7, PIM2, PMAIP1, PPP2CA, RASGRP1, RORA, RTKN2, S100A4, SAMD9, STAM, SUMO2, TNFRSF18, USP15, WDR1, ZBTB32"	39	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL.TIL:Cancer cell:CD8_T_cell	Jerby_Arnon.2018.MEL.TIL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	CD8_T_cell	CD8+ T cell	"ADORA2A, ASB2, ASXL2, CBLB, CCDC141, CCDC64, CD27, CD3E, CD84, CD8A, CD8B, CLEC2D, CRTAM, CXCL13, DNAJB1, GPR171, GZMK, IFNG, ITGA4, ITGAE, ITM2A, JAKMIP1, KLHL28, LAG3, LYST, MAP4K1, MCOLN2, MIAT, MIR155HG, NELL2, PAG1, PCED1B, PDCD1, PRDM1, PTPN7, RAB27A, RNF19A, SIRPG, SIT1, SNAP47, THEMIS, TIGIT, TIMD4, TMEM155, TNFRSF9, TNIP3, TOX, TTC24, TTN, ZBED2"	50	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL.TIL:Cancer cell:CD8_cytotoxic_T_cell	Jerby_Arnon.2018.MEL.TIL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	CD8_cytotoxic_T_cell	CD8+ cytotoxic T cell	"APOBEC3C, B2M, CCL3, CCL4, CCL5, CSF1, CST7, FASLG, GZMB, GZMH, HLA-C, IFNG, PRF1"	13	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL.TIL:Cancer cell:Exhausted_CD8_T_cell	Jerby_Arnon.2018.MEL.TIL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	Exhausted_CD8_T_cell	Exhausted CD8+ T cell	"ABCC9, AKAP5, ANKLE1, AP4B1-AS1, APOBEC3A, ARHGEF26-AS1, ASXL2, ATHL1, ATXN1, CBLB, CD3E, CD8A, CDKN1B, CLEC2D, CNOT6L, CTLA4, CXCL13, DENND2D, DFNB31, DGKH, DOCK8, DTHD1, DUSP4, ELF1, ENTPD1, FAM122C, FAM3C, FAM73A, FBXL18, FCRL3, GBP2, GDPD1, GLUD1P7, HAVCR2, HINT3, HNRPLL, IFNLR1, IL10, INPP4B, INPP5F, ITGA4, ITM2A, ITPKB, KIAA1324, LAG3, LINC00294, LOC100131257, LOC100190986, LOC100271836, LOC286186, LOC440354, LOC728558, LYST, MAPK13, MCL1, MTX3, NFATC1, NXNL2, ODF2L, OSBPL3, PCED1B, PCGF5, PDCD1, PDE4D, PER2, PLEKHG2, PRICKLE2-AS3, PTPRC, RAB27A, RAMP2-AS1, RGS1, RNF19A, SCD5, SF3B3, SH2D2A, SMG1P1, STAT1, STAT3, TANGO2, TATDN3, TBXA2R, TIGIT, TMEM136, TMEM212, TNFRSF1B, TNFRSF9, TP53INP1, TRAF5, TTN, TXNDC11, USP33, VSIG1, VSTM4, ZNF620, ZNF79"	95	30388455	2018	Single-cell	scTyper sigDB
Jerby_Arnon.2018.MEL.TIL:Cancer cell:Naive_CD8_T_cell	Jerby_Arnon.2018.MEL.TIL	Human	Melanoma (MEL)	Undefined	NA	Cancer cell	Immune	T cell subtype	Naive_CD8_T_cell	Naive CD8+ T cell	"ATM, ATXN7, CAMK4, CCR7, EEF1A1, FAM102A, FKBP5, GPR155, IL7R, LEF1, NELL2, PIK3IP1, PPP1R2, PRKCQ-AS1, SELL, SORL1, TCF7, TSC22D3, UBA52"	19	30388455	2018	Single-cell	scTyper sigDB
